,WT2_S2_L001,WT1_S1_L001,KO1_S4_L001,WT3_S3_L001,KO2_S5_L001,KO3_S6_L001
ENSMUSG00000000001,1931.0,1656.0,1702.0,1865.0,1436.0,1554.0
ENSMUSG00000000003,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000028,191.0,243.0,244.0,243.0,189.45,299.0
ENSMUSG00000000031,259.0,289.0,235.0,322.0,159.0,264.0
ENSMUSG00000000037,61.0,33.0,49.0,38.0,36.0,64.0
ENSMUSG00000000049,1.0,1.0,2.0,2.0,3.0,14.0
ENSMUSG00000000056,1221.0,1130.0,1208.0,1166.0,874.0,792.0
ENSMUSG00000000058,522.0,282.0,404.0,418.0,416.0,343.0
ENSMUSG00000000078,1286.0,1092.0,1293.0,1287.0,875.0,1034.0
ENSMUSG00000000085,756.0,862.0,933.0,931.0,628.0,963.0
ENSMUSG00000000088,3666.78,5308.73,4143.73,5415.75,3578.78,5752.37
ENSMUSG00000000093,488.0,504.0,704.0,567.0,572.0,658.0
ENSMUSG00000000094,18.0,1.0,12.0,11.0,9.0,3.0
ENSMUSG00000000103,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000120,102.0,75.0,114.0,138.0,54.0,124.0
ENSMUSG00000000125,9.0,1.0,12.0,5.0,8.0,11.0
ENSMUSG00000000126,237.0,167.0,275.0,247.0,203.0,226.0
ENSMUSG00000000127,607.0,667.0,642.0,587.0,419.0,496.0
ENSMUSG00000000131,1954.0,1869.0,2106.0,1996.0,1414.0,1971.0
ENSMUSG00000000134,1481.0,1438.0,1745.0,1691.0,1240.0,1601.0
ENSMUSG00000000142,906.0,633.0,898.0,877.0,788.0,659.0
ENSMUSG00000000148,623.0,628.0,723.0,670.0,539.0,648.0
ENSMUSG00000000149,3755.86,3595.0,3896.08,4048.53,3168.09,3268.59
ENSMUSG00000000154,1365.0,1700.0,1426.0,1793.0,1187.0,1706.0
ENSMUSG00000000157,9.0,14.0,15.0,11.0,22.0,4.0
ENSMUSG00000000159,281.59,285.0,298.0,371.31,372.36,297.0
ENSMUSG00000000167,322.75,328.78,336.0,361.0,360.51,438.9
ENSMUSG00000000168,1886.0,1598.0,1942.0,1876.0,1581.0,1691.0
ENSMUSG00000000171,2796.0,3417.0,2856.0,3739.0,2783.0,3506.0
ENSMUSG00000000182,15.0,14.0,34.0,27.0,86.0,29.0
ENSMUSG00000000183,8.0,10.0,13.0,16.0,17.0,8.0
ENSMUSG00000000184,1416.05,1270.05,1228.31,1428.82,869.58,1242.96
ENSMUSG00000000194,1678.0,1561.0,1712.0,1724.0,1379.93,1562.0
ENSMUSG00000000197,144.0,141.0,138.0,150.0,84.0,105.0
ENSMUSG00000000202,58.0,98.0,87.0,102.0,80.0,88.0
ENSMUSG00000000204,15.0,11.02,42.03,6.0,23.1,19.06
ENSMUSG00000000214,27.0,18.0,9.0,51.0,5.0,6.0
ENSMUSG00000000215,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000216,320.0,168.0,277.0,254.0,239.0,247.0
ENSMUSG00000000223,195.0,131.0,131.0,173.0,86.0,122.0
ENSMUSG00000000244,33.0,16.0,23.0,20.0,34.0,34.0
ENSMUSG00000000247,7529.0,7929.0,10844.0,8662.0,7318.0,8716.0
ENSMUSG00000000248,0.0,4.0,2.0,4.0,4.0,2.0
ENSMUSG00000000253,1407.0,1382.0,1331.0,1779.0,1363.0,1749.0
ENSMUSG00000000263,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000266,725.0,585.0,735.0,619.0,501.0,576.0
ENSMUSG00000000275,1093.0,1164.0,1229.0,1122.0,878.0,1184.0
ENSMUSG00000000276,597.0,541.0,773.0,571.0,505.0,677.0
ENSMUSG00000000278,699.0,845.0,908.0,985.0,822.0,978.0
ENSMUSG00000000282,1173.0,810.0,1263.0,1056.0,834.0,1052.0
ENSMUSG00000000290,274.0,252.0,356.0,240.0,309.0,276.0
ENSMUSG00000000295,222.0,370.0,277.0,352.0,336.0,357.0
ENSMUSG00000000296,762.0,954.0,822.0,1040.0,998.0,803.0
ENSMUSG00000000301,65.0,83.0,53.0,70.0,62.0,67.0
ENSMUSG00000000303,9771.0,7625.0,9429.0,8966.0,6348.0,8142.0
ENSMUSG00000000305,305.0,378.0,524.0,441.0,330.0,390.0
ENSMUSG00000000308,5894.0,6619.0,7285.0,6741.0,5158.0,7475.0
ENSMUSG00000000317,54.0,53.0,56.0,49.0,33.0,56.0
ENSMUSG00000000318,73.39,44.62,47.09,48.38,60.14,85.4
ENSMUSG00000000320,546.0,395.0,483.0,404.0,491.0,554.0
ENSMUSG00000000325,1844.67,1961.38,2367.49,2224.24,1603.54,2041.05
ENSMUSG00000000326,1420.11,1443.52,1535.93,1583.69,1473.26,1676.95
ENSMUSG00000000339,1832.55,2298.07,1972.32,2491.31,1752.56,2456.61
ENSMUSG00000000340,994.0,935.0,967.0,1125.0,925.0,911.0
ENSMUSG00000000346,8132.0,7319.0,8301.0,8898.0,7553.0,7586.0
ENSMUSG00000000355,438.0,549.0,467.0,497.0,454.0,629.0
ENSMUSG00000000359,55.0,70.0,97.0,85.0,108.0,112.0
ENSMUSG00000000365,5.0,8.0,9.0,12.0,2.0,10.0
